categorie,question,A,B,C,bonne_reponse,commentaire,source
Cat C - Cadre institutionnel et reglementaire,Quelle règle s'applique à une entreprise qui ne fournit des services d'investissement qu'aux personnes morales faisant partie de son propre groupe ?,Elle est soumise à une procédure d'agrément renforcée,Elle est soumise à une procédure d'agrément allégée,Elle n'est pas soumise à une procédure d'agrément,C,"Les entreprises fournissant des services exclusivement à des entités au sein de leur propre groupe ne traitent pas avec le grand public ou d'autres entités externes, réduisant ainsi le risque systémique et la portée réglementaire, ce qui les exonère de certaines formalités de supervision comme la procédure d'agrément.",Article L 531-2 d) du Code monétaire et financier
Cat C - Cadre institutionnel et reglementaire,Qui détermine l'orientation de la politique monétaire européenne ?,Les gouvernements des pays de l'espace européen,Le Système Européen des Banques Centrales,Le Parlement européen,B,"Le Système Européen des Banques Centrales, incluant la Banque Centrale Européenne et les banques centrales des pays membres de l'euro, est chargé de définir et d'implémenter la politique monétaire de la zone euro, impactant ainsi l'inflation, la circulation monétaire et l'économie globale.",Articles 3 et 13 du traité sur l'Union européenne : La conduite de la politique monétaire dans la zone euro figure parmi les responsabilités principales confiées à la BCE par les traités. La BCE constitue avec les banques centrales de tous les États membr
Cat C - Cadre institutionnel et reglementaire,Quels sont les états concernés par l'Union Bancaire ?,Les États de la zone euro,Les États de la zone euro et les États de l'UE ayant établi une 'coopération rapprochée',Les États de l'Union Européenne,B,"L'Union Bancaire a été établie principalement pour les pays utilisant l'euro, pour assurer la stabilité financière. Les autres pays de l'UE peuvent y adhérer via une ' coopération rapprochée ' , permettant à ceux qui ne sont pas dans la zone euro de participer volontairement.",Art 2 du Règlement UE 1024/2013
Cat C - Cadre institutionnel et reglementaire,Quelle est la première mission de l'ACPR ?,Définir les principes d'organisation et de fonctionnement des marchés réglementés,Veiller à la préservation de la stabilité du système financier et à la protection des clients de ses assujettis,Veiller à la production de la monnaie fiduciaire,B,"L'ACPR (Autorité de Contrôle Prudentiel et de Résolution) régule banques et assurances en France, s’assurant de leur solvabilité et protection des consommateurs pour éviter tout risque systémique pouvant impacter l’économie.",Art L612-1 du CMF
Cat C - Cadre institutionnel et reglementaire,Quel organisme décide des dispositifs de résolution applicables aux banques défaillantes ?,La cellule TRACFIN (Traitement du renseignement et action contre les circuits financiers clandestins),L'AMF (Autorité des Marchés Financiers),L'ACPR (Autorité de Contrôle Prudentiel et de Résolution),C,L'ACPR est responsable de la supervision et du contrôle des banques en France. Elle peut intervenir en cas de défaillance pour appliquer les mesures de résolution nécessaire à la préservation de la stabilité financière et de la protection des déposants.,CMF L612-1 à L612-3
Cat C - Cadre institutionnel et reglementaire,La directive dite CRD (Capital Requirement Directive) fixe les règles à suivre par les établissements de crédit en termes de niveau de fonds propres nécessaires. Cette directive transcrit en droit européen les recommandations issues d 'un accord international atteint sous l 'égide :,Du Groupe d 'Action Financière (GAFI),Du Fonds Monétaire International (FMI),Du comité de Bâle au sein de la Banque des Règlements Internationaux,C,"La CRD traduit les normes de Bâle, définies par le comité de Bâle pour le contrôle bancaire, opérant sous l’égide de la Banque des Règlements Internationaux, pour assurer la solidité financière des banques.",DIRECTIVE 2013/36/UE DU PARLEMENT EUROPÉEN ET DU CONSEIL du 26 juin 2013 (considérant 79 et suivant)
Cat C - Cadre institutionnel et reglementaire,"Au niveau des normes communautaires, quel est le niveau d'application d'un Règlement par les Etats membres ?",Il est obligatoire et directement applicable,Il est facultatif,Il est transposable pour partie sur le plan national,A,"Un règlement de l'UE est directement applicable dans tous les États membres dès son entrée en vigueur, sans nécessité de transposition en droit national. Ceci assure l'application uniforme et immédiate de la loi européenne au sein de tous les États membres.",Art 288 - Traité sur le fonctionnement de l'UE
Cat C - Cadre institutionnel et reglementaire,Quelle est la mission du Conseil de Stabilité Financière ?,Etablir des standards internationaux en matière de LCB-FT,Faire reculer la pauvreté dans le monde,Elaborer des recommandations de bonne conduite pour assurer la stabilité financière internationale,C,"Le Conseil de Stabilité Financière développe des recommandations et des normes pour améliorer la régulation du système financier mondial, cela aide à éviter les crises financières et à maintenir un environnement stable pour les économies internationales.","G20 Londres avril 2009, déclaration du 02/04/2009, §15 : http://www.g20.utoronto.ca/2009/2009communique0402-fr.pdf confirmé par la présentation ACRPR du 30/01/2018, page 14 : https://acpr.banque-france.fr/sites/default/files/medias/documents/20180130-lille-fac.pdf"
Cat C - Cadre institutionnel et reglementaire,Quel organisme publie à intervalles réguliers 'les Perspectives de l'économie mondiale' ?,La BCE,L'ONU,Le FMI,C,"Le FMI, ou Fonds Monétaire International, analyse et fait des prévisions sur l'économie mondiale; publier ' les Perspectives de l'économie mondiale ' fait partie intégrante de ses activités pour évaluer et rapporter l'état et les projections économiques globales.",Fiche technique du FMI du 08/03/2018 ' Comment le FMI favorise la stabilité économique mondiale '
Cat C - Cadre institutionnel et reglementaire,Quelle est l'activité principale des sociétés de gestion de portefeuille ?,"Elles exercent une activité de gestion individuelle, c'est-à-dire qu'elles gèrent les capitaux d'un investisseur particulier. La somme mise à disposition par leur client est investie individuellement en actions ou en obligations pour obtenir le meilleur rendement possible.","Elles exercent une activité de gestion collective, c'est-à-dire qu'elles gèrent les sommes mises en commun de plusieurs investisseurs. Elles utilisent ces sommes pour acquérir des instruments financiers, en fonction des objectifs de leurs clients, puis émettent des parts ou des actions qui représentant une quote-part du placement collectif.",Elles exercent principalement les activités d'octroi de crédits et de recueil de fonds remboursables du public.,B,"Les sociétés de gestion de portefeuille regroupent les fonds de divers investisseurs pour acheter des actifs financiers selon des stratégies prédéfinies, et distribuent ensuite les participations financières proportionnelles aux investissements réalisés, assurant ainsi une gestion collective et optimisée du capital investi.","RG AMF, art 316-1 et s. et art. 321-1 et s."
Cat C - Cadre institutionnel et reglementaire,Quelle déclaration concernant des Systèmes Multilatéraux de Négociation (SMNs) est correcte ?,"SMNs n'ont pas le droit de réaliser les admissions des titres à la négociation, ils organisent des transactions pour les titres admis sur des marchés réglementés",SMNs organisent des transactions uniquement pour les titres qu'ils ont eux-mêmes admis à la négociation,SMNs organisent des transactions pour les titres qu'ils ont eux-mêmes admis à la négociation et aussi pour les titres admis sur des marchés réglementés,C,"Les SMNs sont des plateformes permettant la négociation de titres financiers. Ils ne se limitent pas aux titres qu'ils admittent eux-mêmes ; ils permettent également la négociation de titres provenant d'autres marchés réglementés, augmentant ainsi leur flexibilité et attractivité pour les investisseurs.",article L. 561-12 du code monétaire et financier
Cat C - Cadre institutionnel et reglementaire,Qu'est-ce que le MSCI Emerging Markets ?,Un indice 'Marchés émergents' basé sur les actions dans 26 pays émergents,Une liste publiée par l'AMF recensant les marchés financiers de pays émergents,Une liste noire des marchés risqués publiée par l'Autorité Européenne des Marchés Financiers (ESMA),A,"L'indice MSCI Emerging Markets est conçu pour représenter les performances de marché des actions cotées en bourse dans les pays en développement, couvrant donc plusieurs économies à travers le monde considérées comme émergentes, d'où son appelation.","Brochure de Morgan Stanley : MSCI Emerging Markets , The Modern Index Strategy"
